Season Nbr,Episode Nbr,Title,Score,Comment
1,1, Perhaps accurate about human nature and the media...but too gross and easy to hate this episode.,3.0,"This first episode of ""Black Mirror"" is a lousy one because compared to later episodes it's very disappointing. It's also pretty revolting and I suggest you perhaps see this one AFTER you've seen a few of the better ones!The show begins by someone announcing on YouTube that he's kidnapped a member of the royal family. Their demand is that the Prime Minister have sex with a pig...live and unaltered on national television. Much of this episode is insightful when it comes to human nature and the media. That being said, surely there must have been a BETTER way to get the point than this...especially since it involves pork. You could do better and they DO get better."
1,1, Let's See If It Sticks!,5.0,"Other reviewers assure me that this series is worth a look. I agree with a previous commentator, that had this been the first episode I watched, it would be the last. It did pique my interest because all of us are voyeurs and are wondering how it will be pulled off. Well, no such luck. I thought that the writers would be able to come up with a satisfactory conclusion. So, it's performance art. So the guy who did it showed us our dark side. It's still disgusting and I'm not prudish about most things. The other thing is that no government agency would ever let such a thing proceed. I will watch the next one on the promise that something more palatable would come forth."
1,1," Sick, Tense and Realistic Story",8.0,"In London, in Christmas, the Prime Minister Michael Callow (Rory Kinnear) is awakened by his advisors Alex Cairns (Lindsay Duncan) and Julian Hereford (Donald Sumpter) that show a video of Princess Susannah of Beaumont (Lydia Wilson) to him. The princess is the pride and joy of the Royal Family and beloved by the people, and she tells that she was kidnapped. Further, the kidnapper demands that Michael have sex with a pig on live television; otherwise he would kill her. Michael's wife Jane Callow (Anna Wilson-Jones) supports her husband while his advisors try to hire a porn star to perform the act while the secret service tries unsuccessfully to track the kidnapper down. Meanwhile the media seeks for news at any cost. What will the prime minister do?""The National Anthem"" is the promising beginning of ""Black Mirror"", with a realistic and sick story of terrorism. The plot is tense and the attempt to find the responsible in short time is still impressive. The story shows the power of Internet and how unethical and destructive the press can be in certain situations seeking for a scoop. The conclusion is very ironic. My vote is eight.Title (Brazil): Not Available on DVD and Blu-Ray"
1,1," Black comedy, but only just.",6.0,"I know the reviews for this one are generally hugely positive, but I find the first episode a bit of a stumbling block, When you think of subsequent episodes this one just lacks the true cutting edge. Sure it's a disturbing watch, and the performances are superb, fair play to Rory Kinnear, he is superb here, such an amiable actor, it adds to the repulsion and sorrow you feel for the character. The problem I have with this one, is the only picture I have in my mind is David Cameron holding that piglet, distressing all round. It's slick in delivery, it's definitely sick, just a story I'm not particularly struck on, a good watch though."
1,1," ""The Public, the Palace, and the Party insist on compliance.""",4.0,"I think we've pretty much hit the lowest common denominator here, haven't we folks? There are those reviews who claim that this show was meant to make us think, and that's probably true. I think it points out the cultural rot that's invaded our lives via easy to use technologies that make a connection with millions of people possible in an instant. I'm new to Netflix and 'Black Mirror', so I'm actually somewhat surprised that the terrorist act committed in the story hasn't been tried for real by now, since this episode aired back in 2011. But what the heck, with ISIS beheadings going viral and all manner of perverse images showing up on the Internet and spinoff technologies like Facebook and Twitter, it's probably just a matter of time. I can say one thing realistically, if this event were to happen for real, I would not be participating in the voyeuristic show, no matter how sensational. And if I were ever in the position of the Prime Minister, my reaction would be like the guy in the joke who encountered his friend, bitten on the butt by a rattlesnake. The alternative to sucking out the poison would be - 'You're gonna die'."
1,1, Incredibly bold and prescient,9.0,"With all the allegations (uncorroborated) around Piggate (just Google it), this series opener was incredibly prescient big time. Charlie Brooker is one talented guy, and his creation of Black Mirror really tapped into our social media/mobile phone/internet/Facebook obsession. This was before Pokemon Go by the way.This episode is disturbing in many ways, and you can sort of imagine pranksters pulling off such a stunt to humiliate those in power. Wow! Anyway, you are kept guessing until the end and you wonder will the British Prime Minister cave into the demands of the kidnapper? The end is skilfully filmed, and maybe there are DVD outtakes on this."
1,1, The episode that kept me for years from watching any more of Black Mirror,3.0,"After hearing about Black Mirror for a while, I thought I'd take a look, and took a look at the first episode. After 10 minutes I turned it off, although then mild curiosity lead me to read an online synopsis and took a quick look at the end. I didn't watch another episode for 4 years, because I couldn't see how anything that began so badly could possibly worthwhile. (Recently a friend who said this was the worst episode of the entire series convinced me to watch U.S.S. Callister, which was great, so now I'm ready to watch more).For me, National Anthem was a dismal fail. Basically it seemed to be a serious drama about an absurd situation. I actually started getting annoyed even before it got ridiculous because of the way the cabinet kept drawing things out for dramatic effect: Really? you're going to turn off a kidnapping tape in the middle to make some cryptic remarks before you let your boss the Prime Minister see the rest of it?Then the big twist came in and I was like, really?From what I've read there are other sensibility issues. Of course, satire doesn't have to make sense, but in spite of the premise, it isn't filmed like satire. And if you film it realistically, you need to give it a feel of realism, at least in the beginning (for example, Dr. Strangelove, which established a sense of reality before getting absurd). If the first five minutes had been done better, I wouldn't have been so put off by the central premise that I couldn't bring myself to continue.Why Black Mirror's makers felt this was the episode to start with is puzzling, although it's also puzzling why they would make it at all.If you haven't seen Black Mirror, don't start here."
1,1, Change the channel.,7.0,"'The National Anthem (2011)' is the first entry in Charlie Brooker's 'Black Mirror (2011-)'. It tells the tale of a kidnapper's unconventional and cruel demand: the prime minister must have sex with a pig on live TV. The piece starts out somewhat blackly comic, with the absurd request contrasting with the absolute sincerity with which it is treated. However, it soon becomes clear that this command is genuine and genuinely distressing. The experience escalates into a scrambled search for the kidnapper in an attempt to avoid what seems inevitable. The situation is properly tense and its culmination is properly disturbing. Rory Kinnear gives a great performance as a man pushed to the edge and the affair's pacing is veritably propulsive. It's not nice but it's compelling. It is also clearly trying to say something, which it does successfully without beating its audience over the head. Having said that, its observation does feel slightly 'empty'. It's not the most astute message but it works well enough. In the end, this is an entertaining - if not exactly enjoyable - short film with a dash of satire and a heap of horror. 7/10"
1,1, Pigs might fly,8.0,"This has to be one of the most eye-opening pieces of TV I've ever watched. The premise is shocking to the point of unbelievability but a whole lot easier to accept now that the life-imitating-art story of ex-P.M. Cameron's university capers with a porker has come to light. Basically, a young Prime Minister, with similarities to let's say Tony Blair or the afore-mentioned then P.M. in waiting Cameron is woken up by the shocking news that the popular princess of the day, with similarities to let's say Princess Diana, has been kidnapped apparently by terrorists whose sole demand for her release is that said P.M. must commit a sex-act on live T.V. with a pig.It's realistically shot in almost real-time, with social media fanning the flames as the story spreads, augmented by ""Breaking News"" CNN / Sky News-type television updates making more tense the looming four o'clock deadline for the P.M.'s moment of porcine truth. Behind the scenes, every possible way-out is gradually closed down to him and the fantastical finale proceeds with the twist in the tale (or should that be tail?) as the truth is revealed, in the process making sense of subtly inserted seemingly unrelated trivial premonitions in the lead-up.As a commentary on celebrity culture, the eroded public perception of the status of politicians, the limits of censorship and just what people will and won't watch on their TV screens it's savagely on point, even more so today with ever more invasive reality TV shows given ever more network time.A piece like this couldn't work unless two vital factors were in play, firstly that it's played arrow-straight by all the actors and also that there's leavening humour inserted too (evident even in the title of the episode, as we wonder whether the P.M. will get up for his monarch). Both these boxes are positively ticked leaving the only really exceptionable segment being where a female reporter has to sex-text images of herself to one of the P.M.'s insiders to get an exclusive. I wasn't totally convinced by the last scene either showing how the P.M and his wife were coping one year on as I didn't think it added anything to the story.That said, I watched it with one jaw gaping and the other laughing at what I was seeing. This really does feel like it's pushing at the limits of television political comedy but rather like the depiction here of the various representatives of the British public unable to resist tuning in to watch, just you try and look away from this one once you've started."
1,1, 9,9.0,It was so creepy and disturbing but also really entertaining at once. Really enjoyed first episode. Prime minister made the right decision.
